z,n,a,qBminus2n,B2,E2plus,Sn,q2Bminus,qEC,halflife,S2n,Sp,dqA,q2EC,qBminusn,qBminus,S2p,qECp,qBplus,qA
8,16,24,-435.6081200000008,,4760.0,4192.2843,24452.0468,-28438.0,0.07200000000000001,6925.2638,25508.9957,5901.24805,,7143.8229,10955.8885,49688.7407,-52959.0,-29459.9978,-21428.0782
8,17,25,7901.130880000001,,,-757.3077,29364.5331,-28654.0,4.01016e-17,3434.9766,26898.0,4692.4285,,11713.1962,15994.8633,51420.0,,-29675.9978,-20739.0
8,18,26,10973.88888,,1277.0,739.3077,34179.927,,4.5e-12,-18.0001,28611.0,3784.62085,,15255.5557,15986.3855,,,,-21375.0782
8,19,27,17193.19688,,,-1937.0,37619.0,,,-1198.0,,3006.5,,17924.0,19536.0,,,,-21926.0
8,20,28,17262.708880000002,,,661.0,40780.0,,1.0000000000000001e-7,-1276.0,,,,18875.0,18676.0,,,,
9,4,13,,,,,,18915.0,,,-2728.0,,36684.0,,,-3086.0,17403.0,17893.0022,
9,5,14,,,,18137.0,,23956.6215,4.14687e-16,,-1559.9999,-45.39304999999968,29100.9859,,,-48.3925,19329.9505,22934.6237,-9260.5406
9,6,15,,,,23468.9686,,13711.13,1.7316599999999998e-22,41606.0,-1269.9999,2080.7620500000003,16465.3141,,-23648.6215,3356.6711,6414.3643,12689.1322,-10223.8076
9,7,16,,,,13962.8884,,15412.184,1.052667e-17,37431.857,-530.5885,1419.0965,4991.2746,-37611.51,-13311.5932,6766.1772,3284.7726,14390.1862,-9087.8022
9,8,17,,,,16794.7986,-32767.8784,2760.4655,64.368,30757.687,600.2676,-371.3894,-5918.3775,-30106.3918,-14548.7507,12727.6789,-11021.177,1738.4676999999997,-5818.6957
9,9,18,-39256.29912,,,9149.9069,-24164.8794,1655.9288,6584.04,25944.7054,5607.0944,-2032.0998,-12240.055,-23698.6576,-4444.5049,19388.7368,-14285.9373,633.9309999999999,-4415.2202
9,10,19,-34130.533240000004,,,10431.8757,-14416.8296,-4820.3029,STABLE,19581.7825,7993.5998,-3226.7626,-17343.7002,-14876.3806,-3239.4986,23935.466,-21889.5836,-5842.3007,-4013.7991
9,11,20,-21477.71612,,,6601.3362,-6867.9517,-3813.6349,11.0064,17033.2118,10639.2921,-1349.53355,-21783.9611,-9840.8348,7024.4689,27708.5728,-23162.6893,-4835.6327,-8126.2863
9,12,21,-17942.29512,,,8101.4601,2137.2521,-8109.639,4.158,14702.7962,11132.748,-696.2622499999998,-25279.5206,-1076.9911,5684.1712,30481.8024,-29103.0741,-9131.6368,-10342.5998
9,13,22,-6307.327949999999,,,5230.337,7974.7673,-6489.6562,4.23,13331.797,12557.629,332.81765,-28971.4287,453.8342,10818.0916,33551.0641,-29727.5106,-7511.654,-12744.7075
9,14,23,-7125.597119999999,,,7579.4305,12815.1169,-11336.1072,2.23,12809.7675,13286.7398,1883.9688499999995,-33435.1656,3238.6611,8439.3084,36524.5941,-35768.5122,-12358.105,-14995.9075
9,15,24,-573.4041199999992,,,3812.0656,15962.4166,-10955.8885,0.384,11391.4961,14365.8258,2844.5754,-39393.0,4627.2428,13496.1583,38798.2308,-36464.8842,-11977.886299999998,-16646.8978
9,16,25,345.5758800000003,,,4281.6671,20691.9805,-15994.8633,0.081,8093.7327,14455.2086,2621.7877499999995,-44649.0,9214.4912,13369.6698,39964.2043,-42893.0,-17016.861100000002,-16322.6644
9,17,26,8483.66088,,,730.8299,25535.4354,-15986.3855,0.0086,5012.497,15943.3462,1445.0821500000002,,12638.8399,18193.5414,42841.0,-44597.0,-17008.3833,-15515.0654
9,18,27,11026.34488,,,1612.4952,30651.2685,-19536.0,0.0053,2343.325,16816.5337,-650.2477499999995,,16581.0463,18082.568,45427.0,,-20557.9978,-14011.8669
9,19,28,16780.04588,,,-199.0,34392.1113,-18676.0,8.2026e-17,1413.4951,18555.0,-614.7801999999992,,18281.568,22104.0579,,,-19697.9978,-15959.0
9,20,29,16956.64388,,,1324.9238,37470.1964,,0.0033,1125.9238,19219.0,-268.4966000000004,,20779.1341,21750.3873,,,,-18258.0
9,21,30,21517.625880000003,,,-739.0,40486.0,,2.5000000000000004e-7,586.0,,,,22489.0,25680.0,,,,
9,22,31,22300.56088,,,189.0,44597.0,,,-550.0,,,,25491.0,25661.0,,,,
10,5,15,,,,,,23648.6215,2.68863e-22,,-961.9999,-426.7200999999996,37359.7515,,,-2521.9999,24918.6215,22626.6237,-9948.4554
10,6,16,,,1770.0,24299.9167,,13311.5932,3.6456e-17,,-131.0518,758.7394000000004,28723.7772,,,-1401.0517,13842.1818,12289.5954,-10451.4758
10,7,17,,,,15557.6411,,14548.7507,0.1091,39857.5578,1463.7009,509.1891999999998,17309.2162,,-18219.1277,933.1123,13948.4831,13526.7529,-9039.8956
